Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
grover-noancilla_4_mqt.py,83,0.14749900370562136,0.14678717766767782,Local Completo
dj_indep_5_mqt.py,84,0.06945705195470961,0.06883667221633932,Local Completo
vqe_indep_3_mqt.py,85,0.09644264525404148,0.09598216565579555,Local Completo
vqe_indep_3_mqt.py,86,0.08905128395831771,0.08841295925153639,Local Completo
pe_7_mqt.py,87,0.23706403228305983,0.23010899102270244,Local Completo
pe_6_mqt.py,88,0.4277151340865986,0.41695751936696973,Local Completo
dj_indep_5_mqt.py,89,0.15729324573426937,0.1556855531289372,Local Completo
grover_9_vq.py,90,0.36493922132809714,0.32432991699181185,Local Completo
vqe_indep_5_mqt.py,91,0.22424659436554228,0.2195957838113974,Local Completo
qaoa_indep_4_mqt.py,92,0.1595475478196795,0.15817970999747377,Local Completo
qft_3_mqt.py,93,0.24262649050911242,0.24052747566750088,Local Completo
adder_n7_vq.py,94,0.11610488094073021,0.10866726292052187,Local Completo
pe_6_mqt.py,95,0.519218876709662,0.49908793861598233,Local Completo
qft_4_mqt.py,96,0.17241319644827752,0.17149277119959966,Local Completo
adder_n10_vq.py,97,0.18484688429172308,0.16594975828566005,Local Completo
pe_7_mqt.py,98,0.24441038223723516,0.23330095146479535,Local Completo
dj_indep_4_mqt.py,99,0.162475299114434,0.15977927913925238,Local Completo
qft_7_vq.py,100,0.20459058171507516,0.20229401746541512,Local Completo
tsp_indep_4_mqt.py,1,0.16596333688746848,0.16476496830051474,Local DD
qft_3_vq.py,2,0.08630369614113548,0.08611158619522202,Local DD
shor_mod21_mqt.py,3,0.07625701940825802,0.07616190802587262,Local DD
qwalk-noancilla_3_mqt.py,4,0.22552043918671585,0.2242223134926566,Local DD
tsp_indep_4_mqt.py,5,0.10909329110365215,0.10851598560330208,Local DD
pe_4_mqt.py,6,0.23078036543844033,0.2238526845880987,Local DD
qft_4_mqt.py,7,0.19055259218138318,0.18959750990115753,Local DD
bv_2_vq.py,8,0.13712631616465476,0.13499345778084415,Local DD
grover-v-chain_3_mqt.py,9,0.10942684444859667,0.10826518648891029,Local DD
bv_5_vq.py,10,0.17143853073259538,0.16823171035974335,Local DD
grover-v-chain_4_mqt.py,11,0.2316296892219629,0.23004155273324112,Local DD
simon_vq.py,12,0.015402357269589646,0.015401902538838354,Local DD
pe_6_vq.py,13,0.25639524785105666,0.2517475408331667,Local DD
tsp_indep_5_mqt.py,14,0.10866743476714286,0.10844058050803514,Local DD
3_17tc_vq.py,15,0.08337955873760877,0.08312480053882271,Local DD
grover_3_vq.py,16,0.11127265176341858,0.11036927055359601,Local DD
qft_6_mqt.py,17,0.11054519495929567,0.11009252968783556,Local DD
qaoa_indep_5_mqt.py,18,0.058372661368650366,0.05832441579106187,Local DD
dj_indep_7_mqt.py,19,0.6433990904427905,0.5974415431428763,Local DD
bv_9_vq.py,20,0.2806381889461372,0.2687155457570278,Local DD
shor_mod15_mqt.py,21,0.08714163803798043,0.0856099149579642,Local DD
pe_6_mqt.py,22,0.25344928299118813,0.2512957835878954,Local DD
adder_n4_vq.py,23,0.08162941712430523,0.07996090328297864,Local DD
su2random_3_mqt.py,24,0.044785219562085886,0.044765417520710726,Local DD
simon_vq.py,25,0.015584745619729645,0.015584158961065192,Local DD
qaoa_indep_3_mqt.py,26,0.21081717536404146,0.2097606714897658,Local DD
vqe_indep_4_mqt.py,27,0.10504372478415434,0.10270622276012967,Local DD
pe_3_mqt.py,28,0.0962127731911765,0.09533567260398235,Local DD
grover-noancilla_3_mqt.py,29,0.08922997924051199,0.08876501596712566,Local DD
qft_7_vq.py,30,0.22324187636991527,0.2203764647361107,Local DD
