Circuito,Ejecucion,Hellinger,Jensen-Shannon
bv_5_vq.py,1,0.2717860194320019,0.2639034280081482
bv_5_vq.py,2,0.5460751491257455,0.5212299777049689
dj_indep_7_mqt.py,1,0.25638635703919543,0.25046630165818795
dj_indep_7_mqt.py,2,0.33731540889701017,0.3297940456449417
bv_9_vq.py,1,0.36491202372611414,0.34333727542425013
bv_9_vq.py,2,0.6789944437721073,0.618552585607993
3_17tc_vq.py,1,0.08050119619715247,0.08019435139982443
3_17tc_vq.py,2,0.18488725652703167,0.18092455390090478
vqe_indep_4_mqt.py,1,0.34790176135969936,0.33525672207210666
vqe_indep_4_mqt.py,2,0.41979432378005443,0.4052951583664416
su2random_3_mqt.py,1,0.054766863709172275,0.05474880997643272
su2random_3_mqt.py,2,0.025707098349257034,0.025704758862691655
qft_3_vq.py,1,0.10575369790257995,0.10547931482170624
qft_3_vq.py,2,0.11827579654701458,0.11782705372299539
tsp_indep_5_mqt.py,1,0.09162037941492687,0.09148298321014305
tsp_indep_5_mqt.py,2,0.10237976479580803,0.1022431708842145
grover-noancilla_4_mqt.py,1,0.10356472996870153,0.10335294274228328
grover-noancilla_4_mqt.py,2,0.10412525923404618,0.1038335579469242
qft_2_mqt.py,1,0.14294635363719563,0.1426047989255778
qft_2_mqt.py,2,0.12289800456474993,0.1227354529936482
pe_5_vq.py,1,0.16874704599189772,0.16672273021987355
pe_5_vq.py,2,0.3073261205723817,0.2994908083805411
qaoa_indep_3_mqt.py,1,0.19934237591846252,0.19740902673177785
qaoa_indep_3_mqt.py,2,0.2725700422211284,0.2668682171582256
kickback_7_vq.py,1,0.0005264345733140777,0.0005264345611025594
kickback_7_vq.py,2,0.0020697577312583063,0.0020697569903697817
pe_6_mqt.py,1,0.214799581076459,0.21198512282715157
pe_6_mqt.py,2,0.4393393547657224,0.42482534445964937
qft_6_mqt.py,1,0.11854730308846782,0.11819781250589059
qft_6_mqt.py,2,0.10749618837816763,0.10720242480896877
simon_vq.py,1,0.015970756041828797,0.015970040991572516
simon_vq.py,2,0.03949200036461804,0.03948522065665965
bv_2_vq.py,1,0.4679327943354,0.4403132048921893
bv_2_vq.py,2,0.11163714230784964,0.11029587115772307
pe_2_vq.py,1,0.09508792742257659,0.09412397514539148
pe_2_vq.py,2,0.4564848415310923,0.43287290937100065
qft_7_vq.py,1,0.34467958955582095,0.3365511324165947
qft_7_vq.py,2,0.2695859978645495,0.26561715715250606
qft_4_mqt.py,1,0.19043802514206185,0.18925357386813413
qft_4_mqt.py,2,0.16226239265807108,0.16156122528621128
qwalk-v-chain_3_mqt.py,1,0.21438336231169788,0.21320105992078042
qwalk-v-chain_3_mqt.py,2,0.26953770562565715,0.26649258860226455
adder_n4_vq.py,1,0.13294736622229877,0.13063029349233138
adder_n4_vq.py,2,0.08908822111161753,0.08796848545703992
qwalk-noancilla_3_mqt.py,1,0.10585858701846527,0.10567462312509536
qwalk-noancilla_3_mqt.py,2,0.11636111199918543,0.1161384064054674
grover-noancilla_3_mqt.py,1,0.3707701852023303,0.35851190064636046
grover-noancilla_3_mqt.py,2,0.5783724723148403,0.5569773828954857
pe_5_mqt.py,1,0.36854526970426105,0.3630895057458915
pe_5_mqt.py,2,0.26135990577794127,0.25588526957109714
su2_5_vq.py,1,0.3079662833044406,0.2962775350062854
su2_5_vq.py,2,0.29877066311172445,0.28594413222864984
grover_3_vq.py,1,0.14056648230851465,0.13915560562995027
grover_3_vq.py,2,0.0560007320967153,0.05596374606851638
qwalk-v-chain_5_mqt.py,1,0.07827583605566388,0.07817799565541221
qwalk-v-chain_5_mqt.py,2,0.059376722054626865,0.0593368788714803
grover_7_vq.py,1,0.11460773470944953,0.11238245032962571
grover_7_vq.py,2,0.11996987325384922,0.11910536532480934
shor_mod15_mqt.py,1,0.17023495978830466,0.16820427910259883
shor_mod15_mqt.py,2,0.15042327278468082,0.14873682362722748
grover-v-chain_4_mqt.py,1,0.19978582705922374,0.19823922916783474
grover-v-chain_4_mqt.py,2,0.2124792115546247,0.21104719498173244
qaoa_indep_5_mqt.py,1,0.3219414698003499,0.3158366989061056
qaoa_indep_5_mqt.py,2,0.3474627690566157,0.3406050444167492
qft_3_mqt.py,1,0.11469962194894268,0.11447533687541728
qft_3_mqt.py,2,0.1420938829241487,0.14164482578139925
pe_3_mqt.py,1,0.17700602916879207,0.17557984311314814
pe_3_mqt.py,2,0.622011314125208,0.5908874729440313
pe_6_vq.py,1,0.40814054426991864,0.3999688100287983
pe_6_vq.py,2,0.19077084912839173,0.18863205201860728
tsp_indep_4_mqt.py,1,0.1325270303358212,0.13189231873421675
tsp_indep_4_mqt.py,2,0.1128625726723975,0.11240556140090341
grover_9_vq.py,1,0.3812099882354991,0.3614985074947469
grover_9_vq.py,2,0.49271867562601845,0.4651222976864156
grover-v-chain_3_mqt.py,1,0.5985767978967448,0.5741559820727778
grover-v-chain_3_mqt.py,2,0.23541339012968213,0.23282475645568373
dj_indep_4_mqt.py,1,0.5540206504783657,0.5336529892954025
dj_indep_4_mqt.py,2,0.5420530547597776,0.5231997193743124
pe_4_mqt.py,1,0.23458343003893475,0.2303806414192146
pe_4_mqt.py,2,0.5534537008755188,0.5294098339298703
shor_mod21_mqt.py,1,0.09128675553001671,0.0911427377242112
shor_mod21_mqt.py,2,0.037444169973442486,0.0374343914658874
bv_4_vq.py,1,0.556713061076445,0.5343534419330025
bv_4_vq.py,2,0.6794317224144095,0.6326103148170811
bv_3_vq.py,1,0.628448686016416,0.5875853539156878
bv_3_vq.py,2,0.4638852249728873,0.44214402534161784
qaoa_indep_4_mqt.py,1,0.44803901969404375,0.43453157362850614
qaoa_indep_4_mqt.py,2,0.4253635031953056,0.4157164000504363
vqe_indep_3_mqt.py,1,0.3754275920428241,0.3649721450747356
vqe_indep_3_mqt.py,2,0.3207843249300449,0.31384001777718884
vqe_indep_5_mqt.py,1,0.35341008349030884,0.3443490999650386
vqe_indep_5_mqt.py,2,0.5166429410987097,0.4931817485321358
dj_indep_5_mqt.py,1,0.4644804011505629,0.45018689776153026
dj_indep_5_mqt.py,2,0.2832555689939544,0.2735242997616789
adder_n10_vq.py,1,0.24633773072064113,0.2276372033115609
adder_n10_vq.py,2,0.5119775372332869,0.4844053599443539
adder_n7_vq.py,1,0.19597294816474817,0.18756292376938039
adder_n7_vq.py,2,0.1779325348430932,0.16956060639262568
pe_7_mqt.py,1,0.13258407650829251,0.1319684726236504
pe_7_mqt.py,2,0.14287687231230728,0.14220306700973964
