Circuit,Position,Hellinger,Jensen-Shannon,Mode
bv_3_vq.py,1,0.10788141895801519,0.10563530512289747,Time
qwalk-v-chain_3_mqt.py,2,0.29884981809942135,0.29586883452437407,Time
pe_5_vq.py,3,0.21822509690517253,0.2133857771355278,Time
kickback_7_vq.py,4,0.0354613107789867,0.035457512784367616,Time
qft_4_mqt.py,5,0.19936198176426354,0.19776405610994635,Time
tsp_indep_4_mqt.py,6,0.28604547353665466,0.2828654559156348,Time
qft_3_mqt.py,7,0.09431393780719008,0.0941848912491339,Time
grover_7_vq.py,8,0.4139786458890775,0.4012424898235314,Time
grover-v-chain_3_mqt.py,9,0.6248465333978621,0.5900039146784493,Time
pe_4_mqt.py,10,0.41198345486996185,0.4027788759011086,Time
su2random_3_mqt.py,11,0.05220607742040446,0.052184756877676916,Time
grover_3_vq.py,12,0.09922410185967485,0.09895478396568651,Time
qaoa_indep_3_mqt.py,13,0.1747993242238085,0.17233135252317114,Time
tsp_indep_4_mqt.py,14,0.241230841526595,0.23757379471635431,Time
su2_5_vq.py,15,0.4032493114257861,0.3850340109219863,Time
tsp_indep_5_mqt.py,16,0.04021957684431009,0.04021040234486337,Time
pe_5_mqt.py,17,0.35487586293977674,0.34950207936653455,Time
tsp_indep_5_mqt.py,18,0.08571401776667142,0.08560490041678268,Time
shor_mod15_mqt.py,19,0.7602727724258743,0.6986446987420291,Time
qwalk-noancilla_3_mqt.py,20,0.09184773832275231,0.09172202112957492,Time
qwalk-noancilla_3_mqt.py,21,0.08279195575936528,0.08264952482958893,Time
pe_6_mqt.py,22,0.31072372392432374,0.3054012621599669,Time
qft_3_vq.py,23,0.14006312093498724,0.13962250520310318,Time
3_17tc_vq.py,24,0.19919215859572423,0.19671935769489562,Time
3_17tc_vq.py,25,0.24239039346577504,0.24003332674133757,Time
bv_2_vq.py,26,0.32599577339643204,0.314611775233152,Time
qwalk-v-chain_3_mqt.py,27,0.14794484483904938,0.14712190751785859,Time
qft_6_mqt.py,28,0.12782269883304076,0.1272499879929674,Time
pe_6_vq.py,29,0.286451178056769,0.2799886137044483,Time
vqe_indep_4_mqt.py,30,0.5413887829078836,0.5143695221265442,Time
vqe_indep_4_mqt.py,31,0.31043057561896437,0.29829663450703947,Time
simon_vq.py,32,0.053888515964667295,0.0538588935987525,Time
simon_vq.py,33,0.03355102506211215,0.03354300225822134,Time
qft_2_mqt.py,34,0.06699442731332442,0.06696159887249174,Time
qwalk-v-chain_5_mqt.py,35,0.16031238266952672,0.15973824716432294,Time
qaoa_indep_3_mqt.py,36,0.2795188191489388,0.2733241558819479,Time
qft_7_vq.py,37,0.33555831079325904,0.32737719725396414,Time
su2random_3_mqt.py,38,0.1296875795017281,0.129137832824898,Time
grover-v-chain_4_mqt.py,39,0.33003220370866293,0.32227556103981697,Time
grover_9_vq.py,40,0.30041685556100584,0.29016231559467304,Time
dj_indep_7_mqt.py,41,0.5536964082877603,0.529517476206544,Time
qwalk-v-chain_5_mqt.py,42,0.17193093980405919,0.170717061517904,Time
pe_2_vq.py,43,0.14097187112821832,0.13771564116887047,Time
dj_indep_4_mqt.py,44,0.6112180519623631,0.5804049882098897,Time
dj_indep_5_mqt.py,45,0.7133190649265698,0.6598730716469609,Time
bv_9_vq.py,46,0.6223978793507322,0.5734258254103299,Time
dj_indep_7_mqt.py,47,0.5754173026189688,0.5417179813430313,Time
bv_5_vq.py,48,0.6651221342406584,0.6232881917570862,Time
shor_mod21_mqt.py,49,0.25564732502460163,0.252786592290433,Time
pe_6_mqt.py,50,0.38943931598540504,0.382143635832382,Time
adder_n4_vq.py,51,0.28787669748407085,0.2769272503361541,Time
pe_3_mqt.py,52,0.30562051685408054,0.2989396846339777,Time
shor_mod21_mqt.py,53,0.14265543848170106,0.14201621569120404,Time
adder_n4_vq.py,54,0.19918450002370688,0.19439088578631233,Time
adder_n10_vq.py,55,0.3259161647555272,0.30510249711764215,Time
qaoa_indep_5_mqt.py,56,0.3991842902647957,0.3894717412350787,Time
adder_n10_vq.py,57,0.4144812811881169,0.38338510842781975,Time
grover-noancilla_4_mqt.py,58,0.11012216542302769,0.10991725306653392,Time
bv_2_vq.py,59,0.3365135843655416,0.32506804935091016,Time
bv_4_vq.py,60,0.2875989373637357,0.28171382367115705,Time
grover-v-chain_4_mqt.py,61,0.11645848316650557,0.11618432114982852,Time
bv_4_vq.py,62,0.26849441897523835,0.26476900636764084,Time
qaoa_indep_5_mqt.py,63,0.39342013378751434,0.3829832142729986,Time
bv_3_vq.py,64,0.2762109772853003,0.26838835359397156,Time
grover-noancilla_3_mqt.py,65,0.10752884660326417,0.10630331412767915,Time
pe_6_vq.py,66,0.5119903445193592,0.48626618192322824,Time
pe_2_vq.py,67,0.06915883209959775,0.06869520475200379,Time
pe_7_mqt.py,68,0.20870232806347147,0.2049903689068755,Time
grover_3_vq.py,69,0.11228821549995507,0.11118922008215175,Time
qft_3_mqt.py,70,0.05656409943477581,0.05653666701159009,Time
bv_9_vq.py,71,0.37526434054485286,0.3546737139579318,Time
qft_2_mqt.py,72,0.15332951293716324,0.1529110209753486,Time
shor_mod15_mqt.py,73,0.36127566953981255,0.35213693336343194,Time
bv_5_vq.py,74,0.74797038043466,0.6848671471065546,Time
grover-noancilla_4_mqt.py,75,0.2674350390782202,0.2628413708987484,Time
qft_4_mqt.py,76,0.1532860848253683,0.15272209882613147,Time
grover_7_vq.py,77,0.45450860942163757,0.43775769958460564,Time
grover-v-chain_3_mqt.py,78,0.3232953328191684,0.3135242404610344,Time
vqe_indep_3_mqt.py,79,0.13164535223233859,0.13016615260126538,Time
vqe_indep_3_mqt.py,80,0.16372794236150615,0.1612520943159929,Time
adder_n7_vq.py,81,0.26807808057627863,0.25749114379546645,Time
grover_9_vq.py,82,0.4048297451743932,0.38452424487533177,Time
qaoa_indep_4_mqt.py,83,0.4803210482581665,0.4637821986101781,Time
dj_indep_4_mqt.py,84,0.6688408655884138,0.6306957370776839,Time
adder_n7_vq.py,85,0.6342888775622805,0.5910521609726285,Time
su2_5_vq.py,86,0.21124783187532087,0.20527716824435924,Time
grover-noancilla_3_mqt.py,87,0.19395179437261514,0.1908765338812182,Time
pe_4_mqt.py,88,0.13725022320104704,0.13603100261432022,Time
pe_3_mqt.py,89,0.028082144434119563,0.028070571334967584,Time
vqe_indep_5_mqt.py,90,0.33354738731925626,0.3248608379428805,Time
pe_5_vq.py,91,0.5902188318837295,0.5623793674012955,Time
vqe_indep_5_mqt.py,92,0.45973800045049557,0.44206516263377177,Time
qft_7_vq.py,93,0.1510858036825788,0.15033321571506822,Time
dj_indep_5_mqt.py,94,0.3018783864024161,0.2965400222243161,Time
qaoa_indep_4_mqt.py,95,0.10676552560196907,0.10625560487405131,Time
pe_5_mqt.py,96,0.19253794879838748,0.19127773102815193,Time
pe_7_mqt.py,97,0.1731908663543725,0.17194340672864536,Time
qft_6_mqt.py,98,0.17338736309977104,0.17222510236294644,Time
kickback_7_vq.py,99,0.03076371956974092,0.03076124923480295,Time
qft_3_vq.py,100,0.0825194512783875,0.082337617581872,Time
