Circuit,Position,Hellinger,Jensen-Shannon,Mode
dj_indep_7_mqt.py,1,0.40995234258640856,0.3898419242384839,Quantum Island
grover-v-chain_4_mqt.py,2,0.3198573695429175,0.31522954743900733,Quantum Island
pe_5_mqt.py,3,0.19307221687398377,0.19177261531820708,Quantum Island
qft_3_vq.py,4,0.2764343668531719,0.271763952320513,Quantum Island
qft_7_vq.py,5,0.16986290895409017,0.1682843313206977,Quantum Island
bv_2_vq.py,6,0.07933477329646106,0.07829401612176924,Quantum Island
tsp_indep_5_mqt.py,7,0.09432875678121062,0.09419270764823046,Quantum Island
grover_7_vq.py,8,0.44681616303164007,0.4320279412649348,Quantum Island
qft_2_mqt.py,9,0.10381174605595647,0.10371235621406814,Quantum Island
qwalk-v-chain_3_mqt.py,10,0.20550362607154113,0.20394349134740292,Quantum Island
qwalk-noancilla_3_mqt.py,11,0.26386009093680135,0.2616423192380288,Quantum Island
su2_5_vq.py,12,0.1528124713011105,0.14950741755002445,Quantum Island
bv_4_vq.py,13,0.14255464189257958,0.1407578436517733,Quantum Island
simon_vq.py,14,0.04623039706838946,0.046214091486015026,Quantum Island
tsp_indep_4_mqt.py,15,0.2903499777381377,0.2866275961551279,Quantum Island
qwalk-noancilla_3_mqt.py,16,0.2389455329797234,0.23735401963586014,Quantum Island
grover-noancilla_4_mqt.py,17,0.1404081747350783,0.13996102231585855,Quantum Island
shor_mod21_mqt.py,18,0.06221861356098249,0.062147080999093045,Quantum Island
grover-v-chain_3_mqt.py,19,0.11044732443943987,0.10915606521987485,Quantum Island
qaoa_indep_3_mqt.py,20,0.0708777937584743,0.07076295465368983,Quantum Island
su2random_3_mqt.py,21,0.0788043972658232,0.0787166275470819,Quantum Island
dj_indep_4_mqt.py,22,0.09758494041998667,0.09639686961330421,Quantum Island
pe_6_vq.py,23,0.5763011138404364,0.5468859163999022,Quantum Island
bv_9_vq.py,24,0.5053484004344377,0.47269001647176173,Quantum Island
vqe_indep_4_mqt.py,25,0.15194227228647994,0.15072308151503383,Quantum Island
bv_3_vq.py,26,0.09127296174722024,0.09021799928666027,Quantum Island
bv_3_vq.py,27,0.07646657411694353,0.07542083069588161,Quantum Island
bv_2_vq.py,28,0.0072411952098584585,0.007239527690667168,Quantum Island
pe_6_mqt.py,29,0.14223899939184761,0.14113120243110927,Quantum Island
qft_3_mqt.py,30,0.11452483613249488,0.11433363422338735,Quantum Island
qaoa_indep_5_mqt.py,31,0.09320819870324595,0.09289162107034654,Quantum Island
pe_4_mqt.py,32,0.24261086648496333,0.23369656500034583,Quantum Island
kickback_7_vq.py,33,0.0022631882754552066,0.0022631873079232492,Quantum Island
tsp_indep_4_mqt.py,34,0.09628018731986658,0.09597582171145909,Quantum Island
qft_4_mqt.py,35,0.16708209901002508,0.16624933165297384,Quantum Island
grover-noancilla_3_mqt.py,36,0.22901292643123974,0.22190441313011094,Quantum Island
pe_3_mqt.py,37,0.15730989295846332,0.15367780771349898,Quantum Island
su2_5_vq.py,38,0.13537746757864066,0.13317905038027691,Quantum Island
bv_4_vq.py,39,0.1444518383050202,0.13939203345670464,Quantum Island
qft_2_mqt.py,40,0.07168301448778716,0.07164915352494929,Quantum Island
grover_3_vq.py,41,0.17585463862008935,0.17018545975923402,Quantum Island
pe_2_vq.py,42,0.2837115594370704,0.27089374052893533,Quantum Island
vqe_indep_3_mqt.py,43,0.09198970191437823,0.09147950665298415,Quantum Island
qaoa_indep_5_mqt.py,44,0.07533290746367166,0.07518920852902469,Quantum Island
3_17tc_vq.py,45,0.6741469081967161,0.6308376062543631,Quantum Island
adder_n4_vq.py,46,0.10982814604446646,0.10373537295689172,Quantum Island
qft_6_mqt.py,47,0.17153203260421387,0.1704652022592716,Quantum Island
qwalk-v-chain_5_mqt.py,48,0.12000048095959079,0.11974897483758763,Quantum Island
adder_n4_vq.py,49,0.11158594751280998,0.1089130380306968,Quantum Island
simon_vq.py,50,0.028824753775376955,0.02881957752498127,Quantum Island
vqe_indep_4_mqt.py,51,0.11792942305730297,0.11676516977057529,Quantum Island
shor_mod21_mqt.py,52,0.12211105797473322,0.12174796923366289,Quantum Island
grover_9_vq.py,53,0.24931450266583932,0.24127529938536146,Quantum Island
su2random_3_mqt.py,54,0.030115889837771352,0.030112564103420263,Quantum Island
dj_indep_7_mqt.py,55,0.2505942288459007,0.23656901328527677,Quantum Island
dj_indep_5_mqt.py,56,0.15967380739691842,0.1573637584656667,Quantum Island
vqe_indep_5_mqt.py,57,0.1217431940370093,0.11943046020151604,Quantum Island
adder_n7_vq.py,58,0.5399642099327157,0.5088373856873013,Quantum Island
grover-v-chain_3_mqt.py,59,0.13276817481198042,0.1306391091030805,Quantum Island
tsp_indep_5_mqt.py,60,0.12337784666501654,0.12311440670054989,Quantum Island
