Circuit,Position,Hellinger,Jensen-Shannon,Mode
qwalk-v-chain_3_mqt.py,1,0.2386681814680988,0.2369179343222904,Dynamic T1
shor_mod21_mqt.py,2,0.1202076193553808,0.11990477644285394,Dynamic T1
grover_3_vq.py,3,0.13105486120681153,0.12886232713059775,Dynamic T1
qft_7_vq.py,4,0.2499432307259018,0.24655674420742937,Dynamic T1
tsp_indep_4_mqt.py,5,0.11510120716156079,0.11415881086411668,Dynamic T1
dj_indep_7_mqt.py,6,0.31738678958437155,0.30969496302833693,Dynamic T1
pe_4_mqt.py,7,0.1983469146581168,0.19441618117713488,Dynamic T1
qft_3_vq.py,8,0.10560580284984011,0.10526382382383385,Dynamic T1
qft_2_mqt.py,9,0.10344604826483451,0.10334527671687989,Dynamic T1
su2_5_vq.py,10,0.12143416057487415,0.11759389869217964,Dynamic T1
simon_vq.py,11,0.022573717275832385,0.022571103478919042,Dynamic T1
bv_5_vq.py,12,0.220286499596683,0.2165187717562502,Dynamic T1
bv_4_vq.py,13,0.11777176439258848,0.11618614318973822,Dynamic T1
grover-noancilla_4_mqt.py,14,0.12708626975327333,0.12681709589665432,Dynamic T1
qft_3_mqt.py,15,0.09671818057462005,0.09656352148108178,Dynamic T1
bv_3_vq.py,16,0.12345624009487567,0.12157553349481573,Dynamic T1
pe_2_vq.py,17,0.05715128976293948,0.05689439240192048,Dynamic T1
pe_6_vq.py,18,0.20611593258148453,0.20325233714289165,Dynamic T1
pe_5_vq.py,19,0.5567257918952833,0.5354221709456488,Dynamic T1
tsp_indep_5_mqt.py,20,0.08229774750985452,0.08219695189014604,Dynamic T1
3_17tc_vq.py,21,0.12999429428948137,0.12913074620845444,Dynamic T1
bv_9_vq.py,22,0.6206323416525158,0.5760377014328919,Dynamic T1
su2random_3_mqt.py,23,0.014390651702438336,0.014390312133871628,Dynamic T1
qft_4_mqt.py,24,0.1376187937494328,0.13722138250802934,Dynamic T1
grover_7_vq.py,25,0.1668294506897327,0.16399789065359907,Dynamic T1
tsp_indep_4_mqt.py,26,0.11641442611918974,0.11592125234533329,Dynamic T1
dj_indep_4_mqt.py,27,0.09033882853867702,0.08991508099857841,Dynamic T1
qaoa_indep_3_mqt.py,28,0.13413863907138443,0.1335152239556578,Dynamic T1
adder_n4_vq.py,29,0.16356352761726176,0.1606354920427603,Dynamic T1
qwalk-v-chain_3_mqt.py,30,0.23817643341710032,0.2365639437162488,Dynamic T1
qwalk-v-chain_5_mqt.py,31,0.07954566003685395,0.0794483967338466,Dynamic T1
grover-v-chain_3_mqt.py,32,0.13547252944524768,0.13351820518460092,Dynamic T1
shor_mod15_mqt.py,33,0.20115154190955575,0.1980438629609308,Dynamic T1
shor_mod21_mqt.py,34,0.06606512671092855,0.06600854967283772,Dynamic T1
vqe_indep_4_mqt.py,35,0.12299832317233605,0.12041529187099904,Dynamic T1
tsp_indep_5_mqt.py,36,0.0770911090676959,0.07699640899382287,Dynamic T1
grover-noancilla_3_mqt.py,37,0.11175680288630496,0.11071496526337614,Dynamic T1
grover-v-chain_4_mqt.py,38,0.22442660843692808,0.22274125681846033,Dynamic T1
pe_5_mqt.py,39,0.2981967642261496,0.28941032144880935,Dynamic T1
bv_2_vq.py,40,0.05904893295622584,0.05806146415809946,Dynamic T1
qwalk-noancilla_3_mqt.py,41,0.2177341686821779,0.21655437978322836,Dynamic T1
qaoa_indep_5_mqt.py,42,0.10062786171005579,0.10037800146126802,Dynamic T1
qwalk-noancilla_3_mqt.py,43,0.18339325948147925,0.182553870239877,Dynamic T1
simon_vq.py,44,0.1212831094759982,0.1210871916523195,Dynamic T1
grover_9_vq.py,45,0.48082584568076714,0.4538790309401621,Dynamic T1
3_17tc_vq.py,46,0.125728961001624,0.1249108551264921,Dynamic T1
pe_6_mqt.py,47,0.17944635790546498,0.17705546332760597,Dynamic T1
qft_6_mqt.py,48,0.12817757617019856,0.12774236835388633,Dynamic T1
su2random_3_mqt.py,49,0.03429814630688358,0.03429142501157861,Dynamic T1
kickback_7_vq.py,50,0.000771164315620383,0.0007711642773116973,Dynamic T1
su2_5_vq.py,51,0.12696350853175203,0.12378556787862771,Dynamic T1
